signature	library	name	parameter	result type	result count	state	desc	example
abs(n)	math	abs	n	n	1	1	Calculates the absolute value of a number (effectively removes any negative sign).	math.abs(value);
acos(n)	math	acos	n	n	1	1	Returns the arccosine of the given number.	math.acos(value);
acot(n)	math	acot	n	n	1	1	Calculates the arccotangent of the given number.	
"add(s,s,f)"	event	add	"s,s,f"	_nil	0	1	Adds an event listener.	"event.add(event,uid,callback);"
adj2(_mx2)	matrix2	adj2	_mx2	n	1	1		
adj3(_mx3)	matrix3	adj3	_mx3	_mx3	1	1		
airDensity()	game	airDensity		n	1	1		
"angleDifference(n,n)"	math	angleDifference	"n,n"	n	1	1	Calculates the difference between two angles.	
angSpeedLimit()	game	angSpeedLimit		n	1	1	Returns MaxAngularVelocity.	
anyModel()	hololib	anyModel		b	1	0		
"approach(n,n,n)"	math	approach	"n,n,n"	n	1	1	Returns the value of the second parameter approaching the third parameter at a rate defined by the first parameter.	
"approachAngle(n,n,n)"	math	approachAngle	"n,n,n"	n	1	1	Returns the angle of the second parameter approaching the third parameter at a rate defined by the first parameter.	
asin(n)	math	asin	n	n	1	1	Returns the arcsine of the given number.	
atan(n)	math	atan	n	n	1	1	Returns the arctangent of the given number.	
"atan2(n,n)"	math	atan2	"n,n"	n	1	1	Returns the angle whose tangent is the quotient of two specified numbers.	
bestAutoJoin()	team	bestAutoJoin		n	1	1		
binToInt(s)	math	binToInt	s	n	1	1	Converts a binary string to an integer.	
"bSplinePoint(n,t,n)"	math	bSplinePoint	"n,t,n"	v	1	1	Calculates a point on a B-spline curve at a given parameter value.	
"call(_cls,n,e,s,...)"	event	call	"_cls,n,e,s,..."	_nil	0	1	Returns the smallest integer greater than or equal to a given number.	"event.call(result_class,result_count,gate,event,…);"
"call(_cls,n,s,...)"	event	call	"_cls,n,s,..."	t	1	1	Clamps a value within a specified range.	"event.call(result_class,result_count,event,…);"
"call(e,s,...)"	event	call	"e,s,..."	b	1	1	Returns the cosine of a number (in radians).	"event.call(gate,event,…);"
"call(s,...)"	event	call	"s,..."	b	1	1	Returns the hyperbolic cosine of a number.	"event.call(event,…);"
canCreate()	hololib	canCreate		b	1	0		
canSpawn()	prop	canSpawn		b	1	0		
ceil(n)	math	ceil	n	n	1	1	Returns the smallest integer greater than or equal to a given number.	
check(e)	permissions	check	e	b	1	1		
"check(e,s)"	permissions	check	"e,s"	b	1	1		
"clamp(n,n,n)"	math	clamp	"n,n,n"	n	1	1	Clamps a value within a specified range.	
clearFilter()	ranger	clearFilter		_nil	0	1		
clipLimit()	hololib	clipLimit		n	1	0		
"colorAlpha(c,n)"	clr	colorAlpha	"c,n"	c	1	1	Returns a new Color with the RGB components of the given Color and the alpha value specified.	
"colorRand(c,n)"	clr	colorRand	"c,n"	c	1	1	"Creates a Color with randomized red, green, and blue components. If the alpha argument is true, alpha will also be randomized."	
colorToHSV(c)	clr	colorToHSV	c	n	1	1	Converts a Color into HSV color space.	
cos(n)	math	cos	n	n	1	1	Returns the cosine of a number (in radians).	
cosh(n)	math	cosh	n	n	1	1	Returns the hyperbolic cosine of a number.	
