signature	id	name	parameter	result type	result count	state	desc	example
_con.getType()	_con	getType		s	1	0		
_crf.addAllPlayers()	_crf	addAllPlayers		_nil	0	0		
_crf.addPAS(v)	_crf	addPAS	v	_nil	0	0		
_crf.addPlayer(p)	_crf	addPlayer	p	_nil	0	0		
_crf.addPVS(v)	_crf	addPVS	v	_nil	0	0		
_crf.addRecipientsByTeam(n)	_crf	addRecipientsByTeam	n	_nil	0	0		
_crf.getCount()	_crf	getCount		n	1	0		
_crf.getPlayers()	_crf	getPlayers		t	1	0		
_crf.removeAllPlayers()	_crf	removeAllPlayers		_nil	0	0		
_crf.removePAS(v)	_crf	removePAS	v	_nil	0	0		
_crf.removePlayer(p)	_crf	removePlayer	p	_nil	0	0		
_crf.removePVS(v)	_crf	removePVS	v	_nil	0	0		
_crf.removeRecipientsByTeam(n)	_crf	removeRecipientsByTeam	n	_nil	0	0		
_crf.removeRecipientsNotOnTeam(n)	_crf	removeRecipientsNotOnTeam	n	_nil	0	0		
_cv.height()	_cv	height		n	1	2		
_cv.id()	_cv	id		n	1	2		
_cv.width()	_cv	width		n	1	2		
_e2t.exists(n)	_e2t	exists	n	b	1	1		
_e2t.exists(s)	_e2t	exists	s	b	1	1		
"_e2t.insert(n,a)"	_e2t	insert	"n,a"	_nil	0	1		
"_e2t.insert(n,c)"	_e2t	insert	"n,c"	_nil	0	1		
"_e2t.insert(n,e)"	_e2t	insert	"n,e"	_nil	0	1		
"_e2t.insert(n,n)"	_e2t	insert	"n,n"	_nil	0	1		
"_e2t.insert(n,p)"	_e2t	insert	"n,p"	_nil	0	1		
"_e2t.insert(n,s)"	_e2t	insert	"n,s"	_nil	0	1		
"_e2t.insert(n,v)"	_e2t	insert	"n,v"	_nil	0	1		
_e2t.keys()	_e2t	keys		t	1	1		
_e2t.popangle()	_e2t	popangle		a	1	1		
_e2t.popcolor()	_e2t	popcolor		c	1	1		
_e2t.popentity()	_e2t	popentity		e	1	1		
_e2t.popnumber()	_e2t	popnumber		n	1	1		
_e2t.popplayer()	_e2t	popplayer		p	1	1		
_e2t.popstring()	_e2t	popstring		s	1	1		
_e2t.popvector()	_e2t	popvector		v	1	1		
_e2t.push(a)	_e2t	push	a	_nil	0	1		
_e2t.push(c)	_e2t	push	c	_nil	0	1		
_e2t.push(e)	_e2t	push	e	_nil	0	1		
_e2t.push(n)	_e2t	push	n	_nil	0	1		
_e2t.push(p)	_e2t	push	p	_nil	0	1		
_e2t.push(s)	_e2t	push	s	_nil	0	1		
_e2t.push(v)	_e2t	push	v	_nil	0	1		
_e2t.shiftangle()	_e2t	shiftangle		a	1	1		
_e2t.shiftcolor()	_e2t	shiftcolor		c	1	1		
